filepath,filename,parsed_params,open_ok,has_spectrum,nan_count,inf_count,lnu_min,lnu_max,nu_min_hz,nu_max_hz,freq_negative_count,freq_nonmonotonic,spectrum_bins,spectrum_finite_count,spectrum_positive_count,spectrum_negative_count,spectrum_neg_frac,spectrum_all_zero,spectrum_min,spectrum_max,spectrum_max_abs,roughness_logdiff_rms,f230ghz_nuLnu,pol_products_present,pol_max_abs_frac,pol_nonfinite_count,hard_fail,suspicious,pass_sanity,notes
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETA_pos0.h5,spectrum_Sa+0.94_4000_RBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 0.5062500000000001, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 2.26975117e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,80,0,0.0,False,0.0,401328730.6431681,401328730.6431681,1.1268994128687086,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.11250000000000002, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 6.37415392e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,97,0,0.0,False,0.0,1520296131.798594,1520296131.798594,0.8062247657195954,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 1.0125000000000002, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.51565083e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,85,0,0.0,False,0.0,293426471.0162325,293426471.0162325,1.0697662413127103,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 4.54634386e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,97,0,0.0,False,0.0,1489248817.2032719,1489248817.2032719,0.8712636970056433,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETA_pos0.h5,spectrum_Sa+0.94_5000_RBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 0.675, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 2.88638872e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,78,0,0.0,False,0.0,380669595.5186485,380669595.5186485,1.179808777937806,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 4.62424832e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,97,0,0.0,False,0.0,1554276247.6175725,1554276247.6175725,0.719075148171454,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 18.0764616286748, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.34487657e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,78,0,0.0,False,0.0,920878717.5658801,920878717.5658801,1.1760734249813902,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.7593750000000001, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.85492885e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,94,0,0.0,False,0.0,2086001491.1397755,2086001491.1397755,0.9359864991883362,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0.h5,spectrum_Sa-0.5_4000_RBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 9.856107611118773, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 1.28842307e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,74,0,0.0,False,0.0,294249435.448661,294249435.448661,0.8555172371503328,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 1.0125000000000002, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 1.83918215e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,93,0,0.0,False,0.0,2313244381.6555657,2313244381.6555657,0.6867564289451605,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 16.219382388511555, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.12557353e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,77,0,0.0,False,0.0,565292907.9706607,565292907.9706607,1.446804444020545,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.25312500000000004, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.11873022e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,94,0,0.0,False,0.0,1699936612.9681976,1699936612.9681976,0.8579692649068038,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETA_pos0.h5,spectrum_Sa-0.5_5000_RBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 13.27565670707063, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 1.29050493e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,76,0,0.0,False,0.0,350135157.5270274,350135157.5270274,1.1294846368957734,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,"{""beta_crit"": null, ""bias"": 0.25312500000000004, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 1.09470574e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,94,0,0.0,False,0.0,1618290199.9067929,1618290199.9067929,0.8736736376794938,,False,,0,False,False,True,
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_6000_RBETA_pos0.h5,spectrum_Sa-0.5_6000_RBETA_pos0.h5,"{""beta_crit"": null, ""bias"": 12.56380128794693, ""dump_time"": 6000, ""heating_model"": ""RBETA"", ""m_unit"": 1.64428896e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True,True,0,0,-11.999999999999998,9.606150474686778,6.144212353328221e-06,14855.87181784834,0,False,200,200,77,0,0.0,False,0.0,420836212.80725306,420836212.80725306,0.9790798803217426,,False,,0,False,False,True,
