timestamp_utc,row_index,state,model,spin,dump_index,pos,iteration,M_unit,flux_Jy,target_flux_Jy,freq_target_Hz,p_factor,Ns,converged,resumed_trial,spec_path,par_path,log_path
2025-11-22T21:39:44,0,SANE,RBETA,-0.5,4000,0,5,1.37304360e+29,5.08560942e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial05.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.log
2025-11-22T21:39:44,0,SANE,RBETA,-0.5,4000,0,5,1.37304360e+29,5.08560942e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,1,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial05.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.log
2025-11-23T00:44:52,0,SANE,RBETA,-0.5,4000,0,0,1.37304360e+29,5.08560942e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,1,1,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0.log
2025-11-23T01:09:59,0,SANE,RBETA,-0.5,4000,0,1,1.83000000e+27,2.00981060e-06,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial01.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial01.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial01.log
2025-11-23T01:33:58,0,SANE,RBETA,-0.5,4000,0,2,1.45128788e+28,1.02613904e-03,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial02.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial02.log
2025-11-23T01:53:26,0,SANE,RBETA,-0.5,4000,0,3,1.14202295e+29,2.82752754e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial03.log
2025-11-23T02:09:54,0,SANE,RBETA,-0.5,4000,0,4,1.38100702e+29,4.69095922e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial04.log
2025-11-23T02:33:31,0,SANE,RBETA,-0.5,4000,0,5,1.41069135e+29,5.15077312e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial05.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.log
2025-11-23T02:33:31,0,SANE,RBETA,-0.5,4000,0,5,1.41069135e+29,5.15077312e-01,5.00000000e-01,2.30000000e+11,3.000,1.000e+06,1,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial05.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.log
2025-11-27T20:54:49,2,SANE,RBETAwJET,-0.5,4000,0,1,7.39000000e+28,9.39325073e-02,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0_trial01.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial01.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial01.log
