dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
5400,27000,SANE,CRITBETA,-0.5,0,2.5e+28,19.0,1.83e+27,5.977e+28,
5400,27000,SANE,CRITBETA,-0.5,1,2.5e+28,19.0,1.83e+27,3.6589999999999995e+28,
5400,27000,SANE,CRITBETAwJET,-0.5,0,7.5e+27,17.0,1.83e+27,3.861e+28,
5400,27000,SANE,CRITBETAwJET,-0.5,1,7.5e+27,17.0,1.83e+27,1.787e+28,
5600,28000,SANE,RBETA,-0.5,0,2.9e+28,22.0,1.83e+27,6.926000000000001e+28,
5600,28000,SANE,RBETA,-0.5,1,2.9e+28,22.0,1.83e+27,4.242e+28,
5600,28000,SANE,RBETAwJET,-0.5,0,8.3e+27,23.0,1.83e+27,5.039e+28,
5600,28000,SANE,RBETAwJET,-0.5,1,8.3e+27,23.0,1.83e+27,2.233e+28,
5600,28000,SANE,CRITBETA,-0.5,0,2.5e+28,15.0,1.83e+27,5.244999999999999e+28,
5600,28000,SANE,CRITBETA,-0.5,1,2.5e+28,15.0,1.83e+27,3.4149999999999996e+28,
5600,28000,SANE,CRITBETAwJET,-0.5,0,1.5e+28,13.5,1.83e+27,3.9705e+28,
5600,28000,SANE,CRITBETAwJET,-0.5,1,1.5e+28,13.5,1.83e+27,2.3235e+28,
5800,29000,SANE,RBETA,-0.5,0,3.5e+28,28.0,1.83e+27,8.624000000000001e+28,
5800,29000,SANE,RBETA,-0.5,1,3.5e+28,28.0,1.83e+27,5.208e+28,
5800,29000,SANE,RBETAwJET,-0.5,0,1.7e+28,19.0,1.83e+27,5.177e+28,
5800,29000,SANE,RBETAwJET,-0.5,1,1.7e+28,19.0,1.83e+27,2.8589999999999997e+28,
5800,29000,SANE,CRITBETA,-0.5,0,2.8e+28,20.0,1.83e+27,6.46e+28,
5800,29000,SANE,CRITBETA,-0.5,1,2.8e+28,20.0,1.83e+27,4.0200000000000005e+28,
5800,29000,SANE,CRITBETAwJET,-0.5,0,1.5e+27,18.0,1.83e+27,3.444e+28,
