finding singular munits for grmonty from 'ipole_positron_unlocked.py' equation using munits from fall 23 document,,,,,,,,,
"critbeta (f, b_c) = (0.5, 1.0); Rbeta (rlow, rhigh) = (1, 20)",,,,,,,,,
Timestep,MAD/SANE,Model,Spin,positron frac,MunitOffset,MunitSlope,Munit ,MunitUsed,M87 GRMONTY spectrum?
5000,MAD,RBETA,(+)0.94,1,5.00E+24,1.90E+00,7.49E+24,9.74E+24,
5000,MAD,RBETAwJET,(+)0.94,0,5.00E+24,1.40E+00,7.49E+24,1.55E+25,yes
5000,MAD,RBETAwJET,(+)0.94,1,5.00E+24,1.40E+00,7.49E+24,8.49E+24,
5000,MAD,CRITBETA,(+)0.94,0,5.00E+24,1.50E+00,7.49E+24,1.62E+25,yes
5000,MAD,CRITBETA,(+)0.94,1,5.00E+24,1.50E+00,7.49E+24,8.74E+24,
5000,MAD,CRITBETAwJET,(+)0.94,0,3.50E+24,1.50E+00,7.49E+24,1.47E+25,yes
5000,MAD,CRITBETAwJET,(+)0.94,1,3.50E+24,1.50E+00,7.49E+24,7.24E+24,
6000,MAD,RBETA,(+)0.94,0,8.00E+24,3.00E+00,7.49E+24,3.05E+25,yes
6000,MAD,RBETA,(+)0.94,1,8.00E+24,3.00E+00,7.49E+24,1.55E+25,
6000,MAD,RBETAwJET,(+)0.94,0,6.00E+24,2.50E+00,7.49E+24,2.47E+25,yes 
6000,MAD,RBETAwJET,(+)0.94,1,6.00E+24,2.50E+00,7.49E+24,1.22E+25,
6000,MAD,CRITBETA,(+)0.94,0,9.40E+24,1.90E+00,7.49E+24,2.36E+25,yes
6000,MAD,CRITBETA,(+)0.94,1,9.40E+24,1.90E+00,7.49E+24,1.41E+25,
6000,MAD,CRITBETAwJET,(+)0.94,0,6.00E+24,2.00E+00,7.49E+24,2.10E+25,yes
6000,MAD,CRITBETAwJET,(+)0.94,1,6.00E+24,2.00E+00,7.49E+24,1.10E+25,
4000,SANE,RBETA,(+)0.94,0,1.50E+27,7.20E-01,1.83E+27,2.81E+27,yes (used e+26)
4000,SANE,RBETA,(+)0.94,1,1.50E+27,7.20E-01,1.83E+27,1.94E+27,
4000,SANE,RBETAwJET,(+)0.94,0,1.50E+27,1.10E+00,1.83E+27,3.51E+27,
4000,SANE,RBETAwJET,(+)0.94,1,1.50E+27,1.10E+00,1.83E+27,2.17E+27,
4000,SANE,CRITBETA,(+)0.94,0,1.00E+27,6.50E-01,1.83E+27,2.19E+27,yes (used e+25)
4000,SANE,CRITBETA,(+)0.94,1,1.00E+27,6.50E-01,1.83E+27,1.40E+27,
4000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,6.50E-01,1.83E+27,2.39E+27,
4000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,6.50E-01,1.83E+27,1.60E+27,
5000,SANE,RBETA,(+)0.94,0,1.50E+27,1.00E+00,1.83E+27,3.33E+27,yes (used e+26)
5000,SANE,RBETA,(+)0.94,1,1.50E+27,1.00E+00,1.83E+27,2.11E+27,
5000,SANE,RBETAwJET,(+)0.94,0,1.70E+27,1.50E+00,1.83E+27,4.44E+27,
5000,SANE,RBETAwJET,(+)0.94,1,1.70E+27,1.50E+00,1.83E+27,2.61E+27,
5000,SANE,CRITBETA,(+)0.94,0,1.00E+27,7.00E-01,1.83E+27,2.28E+27,yes (used e+25)
5000,SANE,CRITBETA,(+)0.94,1,1.00E+27,7.00E-01,1.83E+27,1.43E+27,
5000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,8.00E-01,1.83E+27,2.66E+27,
5000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,8.00E-01,1.83E+27,1.69E+27,
6000,SANE,RBETA,(+)0.94,0,1.50E+27,1.50E+00,1.83E+27,4.24E+27,yes (used e+26)
6000,SANE,RBETA,(+)0.94,1,1.50E+27,1.50E+00,1.83E+27,2.41E+27,
6000,SANE,RBETAwJET,(+)0.94,0,2.00E+27,1.90E+00,1.83E+27,5.47E+27,
6000,SANE,RBETAwJET,(+)0.94,1,2.00E+27,1.90E+00,1.83E+27,3.16E+27,
6000,SANE,CRITBETA,(+)0.94,0,1.30E+27,8.50E-01,1.83E+27,2.85E+27,yes (used e+25)
6000,SANE,CRITBETA,(+)0.94,1,1.30E+27,8.50E-01,1.83E+27,1.82E+27,
6000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,1.20E+00,1.83E+27,3.39E+27,
6000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,1.20E+00,1.83E+27,1.93E+27,
,,,,,,,,,
,Positron Munit Equation: MunitUsed = MunitOffset + MunitSlope+Munit / (1 + 2*positronRatio),,,,,,,,,
