row_id,dump_index,timestep,state,model,run_tag,spin,Rhigh,Rhigh_used,Rlow_used,f_used,beta_crit_used,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
35,5000,25000,SANE,CRITBETA,Sa-0.5_5000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
33,5000,25000,SANE,CRITBETA,Sa-0.5_5000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
32,5000,25000,SANE,CRITBETA,Sa-0.5_5000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
34,5000,25000,SANE,CRITBETA,Sa-0.5_5000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
3,4000,20000,SANE,CRITBETA,Sa-0.5_4000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.7527538237861991e+28,37.18748205689412,8.558063040197823e+28,4.0211902292567395e+28,True,
1,4000,20000,SANE,CRITBETA,Sa-0.5_4000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.7527538237861991e+28,37.18748205689412,8.558063040197823e+28,4.0211902292567395e+28,True,
0,4000,20000,SANE,CRITBETA,Sa-0.5_4000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.7527538237861991e+28,37.18748205689412,8.558063040197823e+28,4.0211902292567395e+28,True,
2,4000,20000,SANE,CRITBETA,Sa-0.5_4000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.7527538237861991e+28,37.18748205689412,8.558063040197823e+28,4.0211902292567395e+28,True,
10,4000,20000,SANE,CRITBETAWJET,Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,9.338717728179831e+28,107.17760913786859,2.8952220200409782e+29,1.5876551885589812e+29,True,
9,4000,20000,SANE,CRITBETAWJET,Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,9.211318463166727e+28,137.50185556195288,3.4374158031004104e+29,1.759893165244585e+29,True,
