Timestep,MAD/SANE,Model,Spin,Rhigh
4200,SANE,RBETAwJET,-0.5,20
4400,SANE,CRITBETA,-0.5,20
4400,SANE,CRITBETAwJET,-0.5,20
4400,SANE,RBETA,-0.5,20
4400,SANE,RBETAwJET,-0.5,20
4600,SANE,CRITBETA,-0.5,20
4600,SANE,CRITBETAwJET,-0.5,20
4600,SANE,RBETA,-0.5,20
4600,SANE,RBETAwJET,-0.5,20
4800,SANE,CRITBETA,-0.5,20
4800,SANE,CRITBETAwJET,-0.5,20
4800,SANE,RBETA,-0.5,20
4800,SANE,RBETAwJET,-0.5,20
5000,SANE,CRITBETA,-0.5,20
5000,SANE,CRITBETAwJET,-0.5,20
5000,SANE,RBETA,-0.5,20
5000,SANE,RBETAwJET,-0.5,20
5200,SANE,CRITBETA,-0.5,20
5200,SANE,CRITBETAwJET,-0.5,20
5200,SANE,RBETA,-0.5,20
5200,SANE,RBETAwJET,-0.5,20
5400,SANE,CRITBETA,-0.5,20
5400,SANE,CRITBETAwJET,-0.5,20
5400,SANE,RBETA,-0.5,20
5400,SANE,RBETAwJET,-0.5,20
5600,SANE,CRITBETA,-0.5,20
5600,SANE,CRITBETAwJET,-0.5,20
5600,SANE,RBETA,-0.5,20
5600,SANE,RBETAwJET,-0.5,20
5800,SANE,CRITBETA,-0.5,20
5800,SANE,CRITBETAwJET,-0.5,20
5800,SANE,RBETA,-0.5,20
5800,SANE,RBETAwJET,-0.5,20
6000,SANE,CRITBETA,-0.5,20
6000,SANE,CRITBETAwJET,-0.5,20
6000,SANE,RBETA,-0.5,20
6000,SANE,RBETAwJET,-0.5,20
