job_id,dump_index,timestep,state,model,spin,Rhigh,f,beta_crit,pos,Munit,notes
78,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
79,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
80,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
81,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
82,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
83,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
84,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
85,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
86,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
87,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
88,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
89,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
90,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
91,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
92,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
93,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
94,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
95,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
96,5000,25000,SANE,RBETA,-0.5,40,0.5,,0,1.83e27,
97,5000,25000,SANE,RBETA,-0.5,40,0.5,,1,1.83e27,
98,5000,25000,SANE,RBETA,-0.5,80,0.5,,0,1.83e27,
99,5000,25000,SANE,RBETA,-0.5,80,0.5,,1,1.83e27,
100,5000,25000,SANE,RBETA,-0.5,160,0.5,,0,1.83e27,
101,5000,25000,SANE,RBETA,-0.5,160,0.5,,1,1.83e27,
102,5000,25000,SANE,RBETA,0.94,40,0.5,,0,1.83e27,
103,5000,25000,SANE,RBETA,0.94,40,0.5,,1,1.83e27,
104,5000,25000,SANE,RBETA,0.94,80,0.5,,0,1.83e27,
105,5000,25000,SANE,RBETA,0.94,80,0.5,,1,1.83e27,
106,5000,25000,SANE,RBETA,0.94,160,0.5,,0,1.83e27,
107,5000,25000,SANE,RBETA,0.94,160,0.5,,1,1.83e27,
108,5000,25000,SANE,RBETAwJET,-0.5,40,0.5,,0,1.83e27,
109,5000,25000,SANE,RBETAwJET,-0.5,40,0.5,,1,1.83e27,
110,5000,25000,SANE,RBETAwJET,-0.5,80,0.5,,0,1.83e27,
111,5000,25000,SANE,RBETAwJET,-0.5,80,0.5,,1,1.83e27,
112,5000,25000,SANE,RBETAwJET,-0.5,160,0.5,,0,1.83e27,
113,5000,25000,SANE,RBETAwJET,-0.5,160,0.5,,1,1.83e27,
114,5000,25000,SANE,RBETAwJET,0.94,40,0.5,,0,1.83e27,
115,5000,25000,SANE,RBETAwJET,0.94,40,0.5,,1,1.83e27,
116,5000,25000,SANE,RBETAwJET,0.94,80,0.5,,0,1.83e27,
117,5000,25000,SANE,RBETAwJET,0.94,80,0.5,,1,1.83e27,
118,5000,25000,SANE,RBETAwJET,0.94,160,0.5,,0,1.83e27,
119,5000,25000,SANE,RBETAwJET,0.94,160,0.5,,1,1.83e27,
120,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
121,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
122,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
123,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
124,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
126,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
125,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
127,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
128,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
129,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
130,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
131,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
132,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
133,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
134,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
135,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
136,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
137,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
138,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
139,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
140,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
141,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
142,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
143,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
144,5000,25000,MAD,RBETA,-0.5,40,0.5,,0,7.49e24,
145,5000,25000,MAD,RBETA,-0.5,40,0.5,,1,7.49e24,
146,5000,25000,MAD,RBETA,-0.5,80,0.5,,0,7.49e24,
147,5000,25000,MAD,RBETA,-0.5,80,0.5,,1,7.49e24,
148,5000,25000,MAD,RBETA,-0.5,160,0.5,,0,7.49e24,
149,5000,25000,MAD,RBETA,-0.5,160,0.5,,1,7.49e24,
150,5000,25000,MAD,RBETA,0.94,40,0.5,,0,7.49e24,
151,5000,25000,MAD,RBETA,0.94,40,0.5,,1,7.49e24,
152,5000,25000,MAD,RBETA,0.94,80,0.5,,0,7.49e24,
153,5000,25000,MAD,RBETA,0.94,80,0.5,,1,7.49e24,
154,5000,25000,MAD,RBETA,0.94,160,0.5,,0,7.49e24,
155,5000,25000,MAD,RBETA,0.94,160,0.5,,1,7.49e24,
156,5000,25000,MAD,RBETAwJET,-0.5,40,0.5,,0,7.49e24,
157,5000,25000,MAD,RBETAwJET,-0.5,40,0.5,,1,7.49e24,
158,5000,25000,MAD,RBETAwJET,-0.5,80,0.5,,0,7.49e24,
159,5000,25000,MAD,RBETAwJET,-0.5,80,0.5,,1,7.49e24,
160,5000,25000,MAD,RBETAwJET,-0.5,160,0.5,,0,7.49e24,
161,5000,25000,MAD,RBETAwJET,-0.5,160,0.5,,1,7.49e24,
162,5000,25000,MAD,RBETAwJET,0.94,40,0.5,,0,7.49e24,
163,5000,25000,MAD,RBETAwJET,0.94,40,0.5,,1,7.49e24,
164,5000,25000,MAD,RBETAwJET,0.94,80,0.5,,0,7.49e24,
165,5000,25000,MAD,RBETAwJET,0.94,80,0.5,,1,7.49e24,
166,5000,25000,MAD,RBETAwJET,0.94,160,0.5,,0,7.49e24,
167,5000,25000,MAD,RBETAwJET,0.94,160,0.5,,1,7.49e24,
168,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
169,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
170,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
171,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
172,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
173,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
174,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
175,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
176,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
177,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
178,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
179,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
180,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
181,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
182,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
183,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
184,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
185,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
186,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
187,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
188,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
190,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
189,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
191,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
192,6000,30000,SANE,RBETA,-0.5,40,0.5,,0,1.83e27,
193,6000,30000,SANE,RBETA,-0.5,40,0.5,,1,1.83e27,
194,6000,30000,SANE,RBETA,-0.5,80,0.5,,0,1.83e27,
195,6000,30000,SANE,RBETA,-0.5,80,0.5,,1,1.83e27,
196,6000,30000,SANE,RBETA,-0.5,160,0.5,,0,1.83e27,
197,6000,30000,SANE,RBETA,-0.5,160,0.5,,1,1.83e27,
