Timestep,MAD/SANE,Model,Spin,positron frac,Rhigh
5000,MAD,RBETA,0.94,0,1
5000,MAD,RBETA,0.94,0,10
5000,MAD,RBETA,0.94,0,20
5000,MAD,RBETA,0.94,0,40
5000,MAD,RBETAwJET,0.94,0,1
5000,SANE,RBETA,-0.5,0,40
5000,SANE,RBETA,0.94,0,10
5000,SANE,RBETA,0.94,0,80
