row_id,dump_index,timestep,state,model,spin,Rhigh,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
46,6000,30000,SANE,RBETAwJET,-0.5,20,1.83e+27,1.8e+28,22.0,5.826e+28,3.1420000000000007e+28,True,
47,6000,30000,SANE,RBETAwJET,0.94,20,1.83e+27,2e+27,1.9,5.477e+27,3.159e+27,True,
8,4000,20000,SANE,RBETA,0.94,80,1.83e+27,8.342418098961381e+26,1.5311435049482782,3.636234423951488e+27,1.7682393479145877e+27,True,
6,4000,20000,SANE,RBETA,0.94,40,1.83e+27,8.653757859950551e+26,1.38227421225697,3.3949375944253103e+27,1.7085630554718066e+27,True,
1,4000,20000,SANE,RBETA,-0.5,40,1.83e+27,1.9015522706440905e+28,30.37370249443325,7.459939827125375e+28,3.7543481228045184e+28,True,
4,4000,20000,SANE,RBETA,-0.5,160,1.83e+27,1.7527538237861991e+28,37.18748205689412,8.558063040197823e+28,4.02119022925674e+28,True,
2,4000,20000,SANE,RBETA,-0.5,80,1.83e+27,2.036706016868517e+28,32.53252807193808,7.990158654033186e+28,4.02119022925674e+28,True,
10,4000,20000,SANE,RBETA,0.94,160,1.83e+27,7.976592288999006e+26,1.6923619198362294,3.8946815422002e+27,1.83e+27,True,
18,4000,20000,SANE,RBETAwJET,0.94,40,1.83e+27,1.8761324468107272e+27,1.7757140544287937,5.125689166415419e+27,2.959318020012291e+27,True,
20,4000,20000,SANE,RBETAwJET,0.94,80,1.83e+27,1.9433350063805036e+27,2.3796763738439464,6.298142770514925e+27,3.3949375944253103e+27,True,
12,4000,20000,SANE,RBETAwJET,-0.5,40,1.83e+27,6.189751185299444e+28,56.73752264760352,1.657271782981089e+29,9.65074006680326e+28,True,
14,4000,20000,SANE,RBETAwJET,-0.5,80,1.83e+27,6.917527319668558e+28,74.43484192348868,2.0539103391666986e+29,1.1458052677001366e+29,True,
17,4000,20000,SANE,RBETAwJET,-0.5,160,1.83e+27,8.212985934208588e+28,88.37439759644391,2.4385500694357823e+29,1.3603824187591666e+29,True,
22,4000,20000,SANE,RBETAwJET,0.94,160,1.83e+27,2.229399147745709e+27,2.729971138449986,7.225246331109184e+27,3.8946815422002e+27,True,
30,4000,20000,SANE,CRITBETA,0.94,40,1.83e+27,7.174347302009385e+26,0.6790346468975383,1.9600681340234337e+27,1.1316458648084369e+27,True,
24,4000,20000,SANE,CRITBETA,-0.5,40,1.83e+27,1.937073771542534e+28,18.33393546623353,5.29218396186327e+28,3.055443834982779e+28,True,
26,4000,20000,SANE,CRITBETA,-0.5,80,1.83e+27,1.937073771542534e+28,18.33393546623353,5.29218396186327e+28,3.055443834982779e+28,True,
32,4000,20000,SANE,CRITBETA,0.94,80,1.83e+27,7.174347302009385e+26,0.6790346468975383,1.9600681340234337e+27,1.1316458648084369e+27,True,
