dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
6000,30000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,6.290826300875588e+25,Matched 2.43 Jy @ 228 GHz
6000,30000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,7.264532881061754e+25,Matched 2.45 Jy @ 228 GHz
6000,30000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,5.749700113516475e+25,Matched 2.40 Jy @ 228 GHz
4000,20000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,8.239392537762e+25,Matched 2.42 Jy @ 228 GHz
4200,21000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.37 Jy @ 228 GHz
4200,21000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.34507290459204e+25,Matched 2.40 Jy @ 228 GHz
4000,20000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,9.863253467333116e+25,Matched 2.39 Jy @ 228 GHz
4200,21000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.246185500340225e+26,Matched 2.43 Jy @ 228 GHz
4600,23000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,8.696263565463043e+25,Matched 2.43 Jy @ 228 GHz
4400,22000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.38 Jy @ 228 GHz
4200,21000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.1186846882978381e+26,Matched 2.43 Jy @ 228 GHz
4400,22000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.014833166332012e+25,Matched 2.42 Jy @ 228 GHz
4400,22000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,7.806523903086576e+25,Matched 2.43 Jy @ 228 GHz
4400,22000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,8.541225614967939e+25,Matched 2.41 Jy @ 228 GHz
4600,23000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.37 Jy @ 228 GHz
4600,23000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,9.34507290459204e+25,Matched 2.36 Jy @ 228 GHz
4800,24000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,9.34507290459204e+25,Matched 2.40 Jy @ 228 GHz
4600,23000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.1389907414502114e+26,Matched 2.41 Jy @ 228 GHz
4800,24000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0791521835832475e+26,Matched 2.35 Jy @ 228 GHz
4800,24000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,8.388951698234319e+25,Matched 2.36 Jy @ 228 GHz
4800,24000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.68741029155103e+25,Matched 2.40 Jy @ 228 GHz
5000,25000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.44 Jy @ 228 GHz
5000,25000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,9.014833166332012e+25,Matched 2.43 Jy @ 228 GHz
5000,25000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,8.388951698234319e+25,Matched 2.43 Jy @ 228 GHz
5200,26000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,8.092499734575524e+25,Matched 2.40 Jy @ 228 GHz
5000,25000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0987406537112188e+26,Matched 2.41 Jy @ 228 GHz
5600,28000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,8.696263565463043e+25,Matched 2.44 Jy @ 228 GHz
5400,27000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.41 Jy @ 228 GHz
5200,26000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.34507290459204e+25,Matched 2.42 Jy @ 228 GHz
5200,26000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0410166935461233e+26,Matched 2.40 Jy @ 228 GHz
5200,26000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,8.854115721691292e+25,Matched 2.41 Jy @ 228 GHz
5400,27000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.178467909303107e+25,Matched 2.41 Jy @ 228 GHz
5400,27000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.2021473234680498e+26,Matched 2.44 Jy @ 228 GHz
5400,27000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.0599129388713543e+26,Matched 2.39 Jy @ 228 GHz
5600,28000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.40 Jy @ 228 GHz
5600,28000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,9.34507290459204e+25,Matched 2.36 Jy @ 228 GHz
5800,29000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.0042288499508038e+26,Matched 2.42 Jy @ 228 GHz
5600,28000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.1186846882978381e+26,Matched 2.36 Jy @ 228 GHz
5800,29000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,9.014833166332012e+25,Matched 2.35 Jy @ 228 GHz
5800,29000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.0791521835832475e+26,Matched 2.39 Jy @ 228 GHz
6000,30000,MAD,RBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.4390725653741105e+26,Matched 2.35 Jy @ 228 GHz
5800,29000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.2239683671478989e+26,Matched 2.41 Jy @ 228 GHz
