Timestep,MAD/SANE,Model,Spin,Positron Ratio,MunitOffsetDerived,MunitSlopeDerived,MunitBase,MunitUsed,Flux I,P/I,V/I,Timestamp,Elapsed (min)
6000,MAD,CRITBETAWJET,0.94,0.0,7.280330383041374e+24,2.2005841156202175,7.49e+24,2.37627054090368e+25,0.49668359404490176,,,2025-09-21 07:15:34,1153.14
6000,MAD,CRITBETAWJET,0.94,1.0,7.280330383041374e+24,2.2005841156202175,7.49e+24,1.2774455391706516e+25,0.4998460052745029,,,2025-09-21 07:48:30,1186.08
4000,MAD,RBETA,0.94,0.0,4.350188216262397e+24,1.1897279649472783,7.49e+24,1.3261250673717512e+25,0.49992687900953986,,,2025-09-20 16:26:47,264.46
4000,MAD,RBETA,0.94,1.0,4.350188216262397e+24,1.1897279649472783,7.49e+24,7.320542368747435e+24,0.5000010479202283,,,2025-09-20 16:59:48,297.48
4000,MAD,RBETAWJET,0.94,0.0,4.0385264821253095e+24,1.1893668402178634,7.49e+24,1.2946884115357106e+25,0.49651183975826074,,,2025-09-20 21:25:14,562.91
4000,MAD,RBETAWJET,0.94,1.0,4.0385264821253095e+24,1.1893668402178634,7.49e+24,7.007979026535908e+24,0.49914633604265946,,,2025-09-20 21:58:21,596.03
4000,MAD,CRITBETA,0.94,0.0,3.730402206496117e+24,1.0270535292607703,7.49e+24,1.1423033140659286e+25,0.49940781562996633,,,2025-09-21 02:23:13,860.9
4000,MAD,CRITBETA,0.94,1.0,3.730402206496117e+24,1.0270535292607703,7.49e+24,6.29461251788384e+24,0.49999057926714413,,,2025-09-21 02:56:07,893.8
4000,MAD,CRITBETAWJET,0.94,0.0,3.501397301943106e+24,1.0302954753323663,7.49e+24,1.121831041218253e+25,0.49871614819185506,,,2025-09-21 07:20:05,1157.76
4000,MAD,CRITBETAWJET,0.94,1.0,3.501397301943106e+24,1.0302954753323663,7.49e+24,6.073701672022914e+24,0.49943844248364255,,,2025-09-21 07:52:56,1190.62
