Row,MunitOffset_guess,MunitSlope_guess
6,8.249532349488638e+24,2.94159108573
5,1.121161314103562e+25,3.0674933384453533
4,5.541419316741632e+24,2.3826887794413
7,1.2745372124535638e+25,3.7393824409757084
0,1.2621878894333478e+25,3.778122326065574
1,1.7139619858718513e+25,5.356310867665778
8,1.6346048470047565e+25,5.171762185949336
11,6.817568930722001e+24,2.43
2,2.1960674632670562e+25,6.841547593721315
10,4.6464037787902404e+24,1.5943230000000004
3,5.118276318705674e+24,1.3670338175910515
9,3.5801933706111417e+24,0.9985288211073888
Row,MunitOffset_guess,MunitSlope_guess
6,8.168874869823915e+24,2.967438407670001
5,9.835830724416565e+24,3.46834705552999
7,1.1831201816133192e+25,3.8794539975837514
4,5.453745765615552e+24,2.4036251102127006
0,1.255227386757578e+25,3.7972881052933243
1,1.7139619858718513e+25,5.356310867665778
11,6.817568930722001e+24,2.43
2,2.1960674632670562e+25,6.841547593721315
10,4.6464037787902404e+24,1.5943230000000004
8,1.6346048470047565e+25,5.171762185949336
3,5.010998450212175e+24,1.3885745842733634
9,3.3285371959396776e+24,1.0897883521994955
