code,run_type,state,model,spin,dump_index,pos,Rhigh,beta_crit,f,Munit,inclination_deg,fovx_dsource,fovy_dsource,distance_cm,distance_mpc,seed,Ns,resolution,n1,n2,n3,N_THBINS,freq_hz,flux_230_jy_or_nearest,flux_230_j17_jy,theta_bin_index_17deg,theta_bin_width_deg,L_unit,T_unit,Thetae_unit,B_unit,Ne_unit,RHO_unit,path,par_path,log_path,notes
IPOLE,image,MAD,CRITBETA,0.94,4000,0,80,,0.5,9.857394357e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4765786878,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/CRITBETA/Rhigh80/pos0/Ma+0.94_4000_CRITBETA_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_CRITBETA_pos0.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,4000,0,80,,0.5,1.389512709e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.519781394,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/CRITBETA/Rhigh80/pos0/Ma+0.94_4000_CRITBETAwJET_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_CRITBETAwJET_pos0.par,,
IPOLE,image,MAD,CRITBETA,0.94,4000,1,80,,0.5,5.313509062e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.50697391,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/CRITBETA/Rhigh80/pos1/Ma+0.94_4000_CRITBETA_Rhigh80_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_CRITBETA_pos1.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,4000,1,80,,0.5,7.49e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4903577608,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/CRITBETA/Rhigh80/pos1/Ma+0.94_4000_CRITBETAwJET_Rhigh80_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_CRITBETAwJET_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,4000,0,160,1,,1.488272996e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.511773321,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh160/pos0/Ma+0.94_4000_RBETA_Rhigh160_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,0,160,1,,3.167404027e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5226980345,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh160/pos0/Ma+0.94_4000_RBETAwJET_Rhigh160_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,4000,1,160,1,,6.992971194e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4885176355,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh160/pos1/Ma+0.94_4000_RBETA_Rhigh160_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos1.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,1,160,1,,1.649729421e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.500294739,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh160/pos1/Ma+0.94_4000_RBETAwJET_Rhigh160_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos1.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,0,20,1,,1.1488e+25,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.4028992803,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh20/pos0/MAD_spin+0.94_t4000_RBETAWJET_pos0.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,4000,0,20,1,,1.3488e+25,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.5153195094,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh20/pos0/MAD_spin+0.94_t4000_RBETA_pos0.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos0.par,,
